SampleID	Plot	Rep	SoilP	Tret	Date	Stage	SampleType	RootType	SampleLabel	PlantDensity	Yield	Ctrl	Unit
Rz01	101	Rep1	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_101	23	2402.9	N	Spring Plant Density (# plants/m)
Rz02	202	Rep2	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_202	27	2679.4	N	Yield (kg/ha)
Rz03	302	Rep3	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_302	21	4147	N	
Rz04	402	Rep4	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_402	25	3136	N	
Rz05	501	Rep5	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_501	24	3092.1	N	
Rz06	601	Rep6	P	P_PR	20-Jun-23	4wk	Rhizo	Primary	P_P_601	22	3662.9	N	
Rz07	101	Rep1	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_101	23	2402.9	N	
Rz08	202	Rep2	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_202	27	2679.4	N	
Rz09	302	Rep3	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_302	21	4147	N	
Rz10	402	Rep4	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_402	25	3136	N	
Rz11	501	Rep5	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_501	24	3092.1	N	
Rz12	601	Rep6	P	P_LR	20-Jun-23	4wk	Rhizo	Lateral	P_L_601	22	3662.9	N	
Rz13	102	Rep1	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_102	17	2579.1	N	
Rz14	201	Rep2	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_201	36	3043.1	N	
Rz15	301	Rep3	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_301	22	4288.2	N	
Rz16	401	Rep4	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_401	29	4071.8	N	
Rz17	502	Rep5	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_502	29	3307.4	N	
Rz18	602	Rep6	NP	NP_PR	20-Jun-23	4wk	Rhizo	Primary	NP_P_602	14	3028.5	N	
Rz19	102	Rep1	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_102	17	2579.1	N	
Rz20	201	Rep2	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_201	36	3043.1	N	
Rz21	301	Rep3	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_301	22	4288.2	N	
Rz22	401	Rep4	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_401	29	4071.8	N	
Rz23	502	Rep5	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_502	29	3307.4	N	
Rz24	602	Rep6	NP	NP_LR	20-Jun-23	4wk	Rhizo	Lateral	NP_L_602	14	3028.5	N	
Rz25	101	Rep1	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_101	23	2402.9	N	
Rz26	201	Rep2	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_202	27	2679.4	N	
Rz27	302	Rep3	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_302	21	4147	N	
Rz28	402	Rep4	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_402	25	3136	N	
Rz29	501	Rep5	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_501	24	3092.1	N	
Rz30	601	Rep6	P	P_PR	05-Jul-23	6wk	Rhizo	Primary	P_P_601	22	3662.9	N	
Rz31	101	Rep1	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_101	23	2402.9	N	
Rz32	202	Rep2	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_202	27	2679.4	N	
Rz33	302	Rep3	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_302	21	4147	N	
Rz34	402	Rep4	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_402	25	3136	N	
Rz35	501	Rep5	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_501	24	3092.1	N	
Rz36	601	Rep6	P	P_LR	05-Jul-23	6wk	Rhizo	Lateral	P_L_601	22	3662.9	N	
Rz37	101	Rep1	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_101	23	2402.9	N	
Rz38	202	Rep2	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_202	27	2679.4	N	
Rz39	302	Rep3	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_302	21	4147	N	
Rz40	402	Rep4	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_402	25	3136	N	
Rz41	501	Rep5	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_501	24	3092.1	N	
Rz42	601	Rep6	P	P_WR	05-Jul-23	6wk	Rhizo	Whole	P_W_601	22	3662.9	N	
Rz43	102	Rep1	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_102	17	2579.1	N	
Rz44	201	Rep2	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_201	36	3043.1	N	
Rz45	301	Rep3	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_301	22	4288.2	N	
Rz46	401	Rep4	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_401	29	4071.8	N	
Rz47	502	Rep5	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_502	29	3307.4	N	
Rz48	602	Rep6	NP	NP_PR	05-Jul-23	6wk	Rhizo	Primary	NP_P_602	14	3028.5	N	
Rz49	102	Rep1	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_102	17	2579.1	N	
Rz50	201	Rep2	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_201	36	3043.1	N	
Rz51	301	Rep3	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_301	22	4288.2	N	
Rz52	401	Rep4	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_401	29	4071.8	N	
Rz53	502	Rep5	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_502	29	3307.4	N	
Rz54	602	Rep6	NP	NP_LR	05-Jul-23	6wk	Rhizo	Lateral	NP_L_602	14	3028.5	N	
Rz55	102	Rep1	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_102	17	2579.1	N	
Rz56	201	Rep2	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_201	36	3043.1	N	
Rz57	301	Rep3	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_301	22	4288.2	N	
Rz58	401	Rep4	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_401	29	4071.8	N	
Rz59	502	Rep5	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_502	29	3307.4	N	
Rz60	602	Rep6	NP	NP_WR	05-Jul-23	6wk	Rhizo	Whole	NP_L_602	14	3028.5	N	
Rz61	502	Rep5	NP		20-Jun-23	4wk	Rhizo	Lateral	P_L_502	29	3307.4	Y	
Rz62	601	Rep6	P		05-Jul-23	6wk	Rhizo	Whole	P_W_601	22	3662.9	Y	
DupRz24	DupRz24	DupRz24	DupRz24		DupRz24	DupRz24	DupRz24	DupRz24	DupRz24			Y	
RzNTC1	RzNTC1	RzNTC1	RzNTC1		RzNTC1	RzNTC1	RzNTC1	RzNTC1	RzNTC1			Y	
RzNTC2	RzNTC2	RzNTC2	RzNTC2		RzNTC2	RzNTC2	RzNTC2	RzNTC2	RzNTC2			Y	
RzNTC3	RzNTC3	RzNTC3	RzNTC3		RzNTC3	RzNTC3	RzNTC3	RzNTC3	RzNTC3			Y	
Rt1	101	Rep1	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_101	23	2402.9	N	
Rt2	202	Rep2	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_202	27	2679.4	N	
Rt3	302	Rep3	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_302	21	4147	N	
Rt4	402	Rep4	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_402	25	3136	N	
Rt5	501	Rep5	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_501	24	3092.1	N	
Rt6	601	Rep6	P	P_PR	20-Jun-23	4wk	Root	Primary	P_P_601	22	3662.9	N	
Rt7	101	Rep1	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_101	23	2402.9	N	
Rt8	202	Rep2	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_202	27	2679.4	N	
Rt9	302	Rep3	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_302	21	4147	N	
Rt10	402	Rep4	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_402	25	3136	N	
Rt11	501	Rep5	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_501	24	3092.1	N	
Rt12	601	Rep6	P	P_LR	20-Jun-23	4wk	Root	Lateral	P_L_601	22	3662.9	N	
Rt13	102	Rep1	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_102	17	2579.1	N	
Rt14	201	Rep2	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_201	36	3043.1	N	
Rt15	301	Rep3	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_301	22	4288.2	N	
Rt16	401	Rep4	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_401	29	4071.8	N	
Rt17	502	Rep5	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_502	29	3307.4	N	
Rt18	602	Rep6	NP	NP_PR	20-Jun-23	4wk	Root	Primary	NP_P_602	14	3028.5	N	
Rt19	102	Rep1	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_102	17	2579.1	N	
Rt20	201	Rep2	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_201	36	3043.1	N	
Rt21	301	Rep3	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_301	22	4288.2	N	
Rt22	401	Rep4	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_401	29	4071.8	N	
Rt23	502	Rep5	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_502	29	3307.4	N	
Rt24	602	Rep6	NP	NP_LR	20-Jun-23	4wk	Root	Lateral	NP_L_602	14	3028.5	N	
Rt25	101	Rep1	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_101	23	2402.9	N	
Rt26	202	Rep2	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_202	27	2679.4	N	
Rt27	302	Rep3	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_302	21	4147	N	
Rt28	402	Rep4	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_402	25	3136	N	
Rt29	501	Rep5	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_501	24	3092.1	N	
Rt30	601	Rep6	P	P_PR	05-Jul-23	6wk	Root	Primary	P_P_601	22	3662.9	N	
Rt31	101	Rep1	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_101	23	2402.9	N	
Rt32	202	Rep2	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_202	27	2679.4	N	
Rt33	302	Rep3	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_302	21	4147	N	
Rt34	402	Rep4	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_402	25	3136	N	
Rt35	501	Rep5	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_501	24	3092.1	N	
Rt36	601	Rep6	P	P_LR	05-Jul-23	6wk	Root	Lateral	P_L_601	22	3662.9	N	
Rt37	101	Rep1	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_101	23	2402.9	N	
Rt38	202	Rep2	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_202	27	2679.4	N	
Rt39	302	Rep3	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_302	21	4147	N	
Rt40	402	Rep4	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_402	25	3136	N	
Rt41	501	Rep5	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_501	24	3092.1	N	
Rt42	601	Rep6	P	P_WR	05-Jul-23	6wk	Root	Whole	P_L_601	22	3662.9	N	
Rt43	102	Rep1	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_102	17	2579.1	N	
Rt44	201	Rep2	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_201	36	3043.1	N	
Rt45	301	Rep3	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_301	22	4288.2	N	
Rt46	401	Rep4	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_401	29	4071.8	N	
Rt47	502	Rep5	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_502	29	3307.4	Y	
Rt48	602	Rep6	NP	NP_PR	05-Jul-23	6wk	Root	Primary	NP_P_602	14	3028.5	N	
Rt49	102	Rep1	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_102	17	2579.1	N	
Rt50	201	Rep2	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_201	36	3043.1	N	
Rt51	301	Rep3	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_301	22	4288.2	N	
Rt52	401	Rep4	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_401	29	4071.8	N	
Rt53	502	Rep5	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_502	29	3307.4	N	
Rt54	602	Rep6	NP	NP_LR	05-Jul-23	6wk	Root	Lateral	NP_L_602	14	3028.5	N	
Rt55	102	Rep1	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_102	17	2579.1	N	
Rt56	201	Rep2	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_201	36	3043.1	N	
Rt57	301	Rep3	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_301	22	4288.2	N	
Rt58	401	Rep4	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_401	29	4071.8	N	
Rt59	502	Rep5	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_502	29	3307.4	N	
Rt60	602	Rep6	NP	NP_WR	05-Jul-23	6wk	Root	Whole	NP_L_602	14	3028.5	N	
Rt61	602	Rep6	NP		20-Jun-23	4wk	Root	Primary	P_P_602	14	3028.5	Y	
Rt62	602	Rep6	NP		05-Jul-23	6wk	Root	Primary	P_T_602	14	3028.5	Y	
DupRt2	DupRt2	DupRt2	DupRt2		DupRt2	DupRt2	DupRt2	DupRt2	DupRt2			Y	
RtNTC1	RtNTC1	RtNTC1	RtNTC1		RtNTC1	RtNTC1	RtNTC1	RtNTC1	RtNTC1			Y	
RtNTC2	RtNTC2	RtNTC2	RtNTC2		RtNTC2	RtNTC2	RtNTC2	RtNTC2	RtNTC2			Y	
IndexCtrl	RtNTC3	IndexCtrl	IndexCtrl		IndexCtrl	IndexCtrl	IndexCtrl	IndexCtrl	IndexCtrl			Y	